# of Events	Location	Team Name	Nickname	Team #	OPR Rank	Max OPR	ChampionshipDivision	CentralIllinois	Palmetto	Alamo	GreaterTorontoWest	InlandEmpire	MICenterLine	MISouthfield	NEGraniteState	PNWAuburnMountainview	MARMtOlive	MARHatboroHorsham	Israel	GreaterTorontoEast	Arkansas	SanDiego	Crossroads	LakeSuperior	NorthernLights	HubCity	NEUNH	CentralValley	MIKetteringU	MIGullLake	PNWOregonCity	PNWGlacierPeak	NEGroton	MexicoCity	Sacramento	Orlando	GreaterKansasCity	St.Louis	NorthCarolina	NewYorkTechValley	Dallas	Utah	NEWPI	MIEscanaba	MIHowell	MARSpringsideChestnutHill	PNWEasternWashingtonU	PNWMt.Vernon	MARClifton	Waterloo	Montreal	Arizona	LosAngeles	Boilermaker	Buckeye	Virginia	Wisconsin	MIWestMichigan	MIGreatLakesBayRegion	MITraverseCity	PNWWilsonville	NERhodeIsland	PNWShorewood	NESouthington	MARLenape-Seneca	NorthBay	Peachtree	Hawaii	Minnesota10000Lakes	MinnesotaNorthStar	SBPLILongIsland	FingerLakes	QueenCity	Oklahoma	GreaterPittsburgh	SmokyMountains	GreaterDC	NENortheasternU	MILivonia	MISt.Joseph	MIWaterford	PNWAuburn	PNWCentralWashingtonU	NEHartford	MARBridgewaterRaritan	WesternCanada	WindsorEssexGreatLakes	SiliconValley	Colorado	SouthFlorida	Midwest	Bayou	Chesapeake	LasVegas	NewYorkCity	LoneStar	NEPineTree	MiLansing	MIBedford	MITroy	PNWOregonStateU	NewEnglandRegion	MichiganState	AutodeskPNW	MidAtlanticRegion	Archimedes	Curie	Galileo	Newton
																																																																																																													
2	Sacramento, CA USA	JB Ballenger Forklift Service / TAP Plastic / Sacramento City Unified School District Career and Technical Preparation & John F. Kennedy High School	Kennedy Robotics	3250	522	51.4																9.9180827379979													51.3581570880127																																																																										
3	Wyncote, PA USA	Lockheed Martin / Comcast / Arcadia University / McDevitt Alumni Association & Bishop McDevitt High School	E=mCD	3974	523	51.3												30.2743182493083																												50.6666431253762																																																											51.2785706814016				
2	Appleton, WI USA	Plexus Corp. & Appleton Area School District	N.E.W. Apple Corps Robotics	93	524	51.2																		40.6810590076223																																	51.2269210101499																																																				
4	Grosse Pointe, MI USA	GM & Grosse Pointe Public Schools	The Gearheads	1189	525	51.2							42.0681209585473																																51.1862376046384																																																						31.1539113824715				41.9008810357512						
2	Overland Park, KS USA	Blue Valley Educational Foundation / Sprint Corporation / General Motors / Honeywell / Cerner Corporation / Ryerson / KSPE & Center for Advanced Professional Studies	Blue Valley CAPS Metal Mustang Robotics	2410	526	51.2																															51.179732556125																																					47.5993653924756																																			
1	Minneapolis, MN USA	Medtronic Inc. & The Blake School	BearBotics	2498	527	51.1																																																															51.1412604499315																																								
2	Pasadena, MD USA	NASA-GSFC / AACPS Advanced Studies & Programs / Leidos / Calvert Veterinary Center / Merrick and Lohff, Ameriprise Financial Services / St. John Properties & Chesapeake High School (AA)	C Company	2377	528	51.1																																																																							51.1037125958794																35.7450006319765																
1	Hilo, HI USA	Ryan Nakasato / Hilo High School Foundation / Hawaii Electric Light Company / Subaru Telescope NAOJ / Rotary Club of Hilo Bay / BAE Systems / Submillimeter Array / 2014 FRC Hardship Grant / Dayton Jackson Machinary / Hilo Steel Works / Stick-It Hawaii & Hilo Viking Robotics	Hilo Viking Robotics	1378	529	51.1																																																														51.0621881827748																																									
3	Marine City, MI USA	Cardinal Mooney Catholic High School / jcpenney / Triton Automation / Dr. Leslie May / CMC Mom's Club / CMC Dad's Club / Henkel Corporation / Auto Craft Tool & Die / Kotchman Family / Franks Pharmacy / Advanced Care Pharmacy / Mr & Mrs Vorderbrueggen / Business Technology Group / Anchor Bay Insurance / Mr & Mrs Freeman / Communications Workers of America, Local 4008 / Mr Victor McDonald / Macomb Spine Care / Motion Industries / Mr. and Mrs. Bernard Rosseel / Masha Treusch-Pelzer / Wolf's Boat Tops / Creative Crafts / FRC Team 67 / FRC Team 2604 / Rockford Carving Company & Cardinal Mooney Catholic	RoboSapiens	4779	530	51.0							37.5800304710485																																																																																							11.2771786216476			50.9827018528333						
1	St. Louis, MO USA	The Boeing Company & South Tech High School	Tech Heads	1658	531	51.0																																50.9573160351																																																																							
2	Cassopolis, MI USA	SRT / K&M Machine Fabricating, Inc. / IMT Consulting Inc / Bergen RC / JCS Woodworking and Manufacturing / REAL Country 99.9 / Rev. Allan & Dr. JoAnn Widerquist / Firevine / ICM Products Inc. / Schwinntek / Creative Vinyl Sign Inc. / Old Orland Insurance / Harry Shaffer / The Chapman Family / Leader Publications / Edward Lowe Foundation / Hayden True Value Hardware / Prefered Printing Inc / VFW Ladies Auxilary 10704 / Cass County Sheriff's Dep. / Quality Masonry / Lakeside Melodies Resort / Carter Electric / Jake's County Meats / Tracy Hertsel / Klipper's Lawn Care / Gary's Custom Meats / Division Tire & Battery / Community Mills / SPI Blow Molding / Cassopolis Dental / Dussel's Farm Market Greenhouse Inc / Banks Hardwoods, Inc / RC Fun Park / Porky's Party Place / Republic Roller Company / Imperial Furniture / Thomas J. Mosier Water Well Drilling / Lutz Concrete / Geri Vlasicak & Cassopolis High School	RoboRangers	4325	532	51.0																								31.7951360544392																																																		50.9520194384896																													
4	Walled Lake, MI USA	Chrysler Foundation/Tecla Company, Inc./Erin Industries/Hitachi/TRW/Dedoes Industries & Walled Lake Schools	The Monsters	308	533	50.9																																							48.3801949586301																																		45.5587587726401																			50.8900033457817					40.5397078203346						
2	Eagan, MN USA	3M Foundation/Thomson-Reuters/Skyline Exhibits/Lancet Software/Gopher Resource/Lowe's/Columbia Precision/PTC & Eagan High School	Blue Twilight	2220	534	50.9																			7.0890718801037																																													50.8896451719835																																							
2	Edmond, OK USA	Jasco Products/Oklahoma Christian University/Kimray & Edmond Santa Fe High School	RoboLobos	2359	535	50.8															1.6530857485496																																																					50.81144745461																																			
3	Tulsa, OK USA	American Electric Power / Express Integrated Technologies / HE&M Saw / Allied Fence Company / Knape & Associates / Baker Hughes / Kimberly-Clark / Instrument Society of America / TD Williamson / Tulsa Public Schools College & Career Readiness Dept. / Memorial Robotics Booster Club & Tulsa Engineering Academy at Memorial High School	Circuit Chargers	932	536	50.8	Archimedes																														21.551787385891																																					50.7989125467782																																14.4288898375823			
2	San Diego, CA USA	Raytheon / Qualcomm / Mutant Robots / Waterjet West / College Career Technical Education & Kearny High Educational Complex	Hammer Heads	1572	537	50.8																12.7575607262481																																																																								50.7660240060005															
2	Albany, NY USA	RPI/National Grid/BAE Systems & Albany High School	The Falcons	1493	538	50.7																																		50.7489538645075																																28.6839129164754																																					
3	Culiacan, SIN Mexico	Instituto Tecnologico y de Estudios Superiores de Monterrey Campus Sinaloa	Tech - Sets	5093	539	50.7	Curie																											0.9337488805057																																																														28.5114975774059											50.6920455720388		
3	Glen Allen, VA USA	Powertrain Control Solutions / ShowBest / Pricewaterhouse Coopers LLC / RichTech's Women in Technology / PTC & Deep Run High School	Blue Cheese	1086	540	50.6522178649902	Archimedes																																																	16.5046250606751																	50.6522160957787																																	28.5881418187183			
2	Kokomo, IN USA	AndyMark, Inc. / Chrysler Foundation / Carney-Echelbarger Machining / Haynes International / CalComp / Merrell Brothers / Fastenal & Northwestern High School	CyberTooth	3940	541	50.6502151489258																	15.0672395921942																																																																								50.6502133248493														
2	Klein, TX USA	NRG Energy/Greater Texas Foundation/HP Computers/Northrock Computers & Klein ISD	Klein Bots	3735	542	50.5																																			36.0055926273315																																																							50.4663094667745													
3	Traverse City, MI USA	Rollin M. Gerstacker Foundation / State of Michigan / RSVP Jet / Grand Traverse Radiologists, PC / Salamander Technologies / American Proficiency Institute / United Engineered Tooling / TriMet Industries / Wells Fargo Advisors / Avanti Engineering / Flextech Solutions, LLC / Grand Traverse Woman's Clinic / BORIDE Engineered Abrasives / Robert Fenton-Financial Advisor @ Raymond James / Trilink Technical Services, Inc. & Traverse City Central High School	Raptors	1711	543	50.4																																						25.5226447049352																38.4062184038137																																											50.4315073804017						
3	Cleveland, OH USA	NASA Glenn Research Center/Cuyahoga Community College/GrafTech Corporation/Rockwell Automation & Cleveland Metropolitan School District	Cleveland's Team	120	544	50.3	Newton																																																50.3417833265463																		48.3104682323261																																				36.9482192474743
3	Okemos, MI USA	General Motors/Dart Foundation/TechSmith & Okemos High School & Lansing Christian High School & Williamston High School	Desperate Penguins	1504	545	50.3								4.6351984054341																															13.2456120569764																																																					50.3310474446801											
2	Hillsborough, NC USA	J W Faircloth and Son / Eclectech / Orange County Schools / Carolina Biological Supply Company / Qualcomm Global Sustainability / IBM / The Noman & Bettina Roberts Foundation & Orange High School & Cedar Ridge High School	Hedgehogs	587	546	50.2																																	25.7303407954863																																						50.247314329525																																
3	Plainsboro, NJ USA	Bloomberg / Onyx Equities / Friends & Families of 1923 / Princeton Plasma Physics Lab / Fortira / Merrill Lynch / SRI & West Windsor-Plainsboro HS North & South	The MidKnight Inventors	1923	547	50.2											50.2330594609505																																																21.1228755167885																																								33.819161396916				
4	Havertown, PA USA	Lockheed-Martin/GE Volunteers & Haverford High School	Roboforce	484	548	50.1	Archimedes																																							24.7766108294141																			50.1451323902573																																								43.4950930645085	26.4999581014702			
4	San Jose, CA USA	Mimi Patterson / Qualcomm / MDR Precision / Intuitive Surgical / C&H Enterprises / Wells Fargo Advisors / Brin Wojcicki Foundation / Google Inc. / The Zhang Foundation / Nova Drilling / Gorilla Metals / Valley Christian Schools / Alliance Roofing Company / Network for Good / Nvidia / Symantec / The Omni Group / Wasabi & Valley Christian Schools	WarriorBorgs	3256	549	50.1	Newton																					6.2508510231743							31.8101174087619																																																					47.804438315082																					50.0748281812696
3	Beaverton, OR USA	NASA / Intel / Portland Community College / ITT Tech / Beaverton Public Schools Robotics Teams & Westview High School	Wildcats	1510	550	50.1																																										12.5891998695647													12.6334137169113																																								50.061655602303								
2	Toronto, ON Canada	TDSB & L'Amoreaux Collegiate Institute/DayMak/Canadian Tire & L'Amoreaux Collegiate Institute	Paradigm Shift	2198	551	50.1	Archimedes													37.306658903201																																																																																						50.0598238121527			
2	Okmulgee, OK USA	NASA / Tinker AFB / Liberty Partners & Green Country Technology Center	Green Machine	4933	552	50.0	Archimedes																																																																			14.842015017307																																50.0404347290156			
3	Kanata, ON Canada	Deloitte / Lockheed Martin / PROTOCASE / Ottawa Catholic School Board / Carleton University & All Saints High School	ASTECHZ	2994	553	50.0														12.5243464323889																																														26.6996295319118																				49.9841492643256																							
2	Charlevoix, MI USA	Raydernators / National Marine / Ferguson & Chamberlain / Family Farm And Home / Mrs. Colleen M. Wilcenski / DCL / Van Dam Custom Boats / Bay Shore Steel / Dr. William Shapton / Michigan Scienctific / Northwest Design Group / Mr. James Evans / IRISH Boat Shop & Charlevoix High School	Raydernators	4376	554	50.0																																						31.3146797375777																49.9681761337206																																																	
3	Clinton Township, MI USA	TRW Automotive/L'Anse Creuse Public Schools & F.V. Pankow Center	Rockem Sockem Robotics	453	555	49.9							33.1221237702146																																																																																							38.5026170642108			49.9464181397234						
1	Penfield, NY USA	The Hoselton Foundation / Finger Lakes Tram / Roberts Wesleyan College / LEAH Homeschoolers & The Charles Finney School	Finney Falcons	1405	556	49.9																																																																		49.9257162711443																																					
2	Hamilton, OH USA	Kathman Electric/Anonymous Angel/M&S Machine and Manufacturing/Ross Spirit Inc./Brookville IGA/Teri Wallace Attorney/Rhino Robotics/Rumpke/Snap A Loop & Ross High School	Ross Rambotics	3201	557	49.9																																																	22.9235198703181																		49.9210756360428																																				
3	Ardmore, PA USA	Lockheed Martin/Lower Merion School District & Lower Merion High School	Dawgma	1712	558	49.9												26.884396368707																												25.4449906597407																																																											49.8670640641955				
2	Bloomington, IL USA	DuPont Pioneer / G3 Machining / Rader Famiy Farm / MetalCow Robotics & McLean County 4-H	MetalCow Robotics	4213	559	49.9		25.023841758898																																														49.8589772563913																																																							
1	Trumansburg, NY USA	Trumansburg Central School District	Robot Raiders	5254	560	49.8157539367676																																																																		49.815754759114																																					
2	Granada Hills, CA USA	St. Jude Medical & Granada Hills Charter High School	Robodox	599	561	49.8						49.7839842484523																							47.114263595548																																																																										
2	Chanhassen, MN USA	Lake Region Medical / Stratasys / Rockwell Automation & Chanhassen	Stormbots	4778	562	49.7	Archimedes																																																															44.7267530681525																																				49.7426413493665			
2	Encinitas, CA USA	Science Application International Corporation/Nordson-Asymtek/ViaSat/Families of Team 2102/Qualcomm/AFCEA San Diego/San Dieguito High School Academy  Associated Student Body & San Dieguito Academy High School	Team Paradox	2102	563	49.7																15.8988639057533																																																																								49.7222006352662															
4	Clifton, NJ USA	Clifton Public Schools/Hobin Construction/The Warehouse at 308 Colfax/Montclair Society of Engineers/KendalTech/Talbot Family/Solve a Crime Games/Syracuse Signs/Clifton Education Association & Clifton High School	Mechanical Mustangs	3314	564	49.7											36.9711356999018																																26.2613246962168																																				49.6696394560191																				30.9739836577225				
2	Grand Rapids, MI USA	Magna Mirrors / Challenge Manufacturing / Rattunde Corporation / Precision Aerospace / Performance Software / Meijer & Forest Hills Public Schools	COMETS	3357	565	49.6																																																				49.6012138123304																																								27.3286811855123											
1	Oneonta, NY USA	NASA / Munson's  Hardware / Oneonta State College / Prolifiq / Medcoach / IOXUS / Corning Life Sciences of Oneonta, NY / jcpenney & Cornell Cooperative Extention of Otsego County 4H & Oneonta High School	RoboKronos	4203	566	49.5																																		49.5400043200033																																																																					
3	Marietta, GA USA	Shaheen & Company/GE Volunteers/Novelis/Kimberly-Clark/Automated Logic/United Technologies/Standridge Color/Lockheed-Martin Aeronautics/Georgia Power/GEICC/STEM Leadership Foundation/Dow/AIAA/Orasi Software/Cobb EMC/Georgia Natural Gas/Arylessence/ASME/Johnnys Pizza/Georgia Tech Research Institute/Halco Lighting/Lithonia Lighting/Cana Communications/Modern Metals/RayPaul Coating/Peterson Aluminum/Edwards Tire/Kennesaw State University & The Carlton J. Kell High School	Kell Robotics	1311	567	49.5	Curie		7.8780920230684																																																																																			49.4920443168073															34.5685677677467		
2	Granville, OH USA	NASA / NextGenROBOTS.com / Kaufman Engineered Systems / Owens Corning / Industrial Services Company / Chisolm Studios / Granville Aspire / Skyline Exhibits of Central Ohio / The Works & Granville High School	Granville Robo Aces	4283	568	49.5																	0.1294012726835																																																		49.4505657427355																																				
3	San Diego, CA USA	Motorola/Qualcomm/San Diego College, Career & Technical Education & Madison High School Devil Duckies	The Devil Duckies	1266	569	49.4	Galileo															49.4255161160959																																																																								47.7273197476655														34.2851211377884	
2	Terre Haute, IN USA	Vigo County Schools	Area 5188	5188	570	49.4036445617676	Newton																49.4036447230588																																																																																						20.1393404550248
1	Emlenton, PA USA	Oil Region Alliance / Penn State Extension / Lockheed Martin / Clarion University Community Fellows / Swartfager Welding, Inc / Dick McCall, Inc / N-Jay Machine / Farmer's National Bank / USA East Sled Pulling / Sherwin Tree Service / Osmer Racing / Cindy Yargar / Foxburg Pizza and Country Store / EQT / Nickleville Presbyterian Church / Joy Mining Machinery / Quality Life Services / Emlenton IGA / Weichey's Quality Auto Glass / Scrubgrass Stitchers Quilt Guild / Emlenton Plaza / Bowen Rentals / Bill Gordon and Susan Baker / The Briar Patch / George and Stephanie McAuley / Bill and Genevieve Sherwin / The Pines Inn Restaurant / The Silver Fox Theatre and Event Center / Sandy and Keith Sherwin / Marty and Bill Best / Jacqui and Scott Caldwell / Clarion Chamber of Business and Industry / Ray Cupples / Tom's Sales and Service / Amy Whitehill / Maggie Allbee & Clarion-Venango 4-H	4-H Electrotechs	3954	571	49.4																																																																					49.374128815864																																		
2	Portland, OR USA	Jesuit High School	Crusader Bots	2374	572	49.363883972168																									3.0907961715092																														49.3638833883205																																																
2	Niagara Falls, ON Canada	General Motors St. Catharines Powertrain/Ontario Power Generation & Westlane Secondary School	Spartonics	1503	573	49.3														49.3145701473882																																																							34.9490497301195																																		
3	Plantation, FL USA	Motorola Mobility Foundation & American Heritage High School	Ninjineers	2383	574	49.2																														22.3067718151902																				49.2331447425143																																		23.7740146047458																			
1	Newhall, CA USA	St. Jude Foundation / Boston Scientific Neuromodulation / Lockheed Martin / Numatic Engineering & Hart High School	Hart Hybrids	3993	575	49.2																																															49.187074180061																																																								
2	Bridgewater, MA USA	DePuy / Harpak-ULMA / NASA & Bridgewater Raynam Regional High School	TJ(Squared)	88	576	49.2																																					15.6455512731864																																																						49.1838608661868												
2	Mahwah, NJ USA	Mahwah High School Robotics Club / Mahwah Schools Foundation & Mahwah High School Board of Education	Robo-T-Birds	1672	577	49.1554565429688																																											-0.8215970344916																																				49.1554563400846																								
5	Montvale, NJ USA	Dassault Falcon Jet / Shop Rite--Inserra Supermarkets / Dimensional Communications / BMW Group / BAE Systems / Norwolf Tool Works / A&G Research / S. Scanlon Contractors / George Mehm & Pascack Valley Regional High School District	The Pascack PI-oneers	1676	578	49.1	Curie										42.1499194216618																																37.5725738680654																																				49.1418292227364																				45.4897545981503		47.3147455063439		
3	Taylor, MI USA	DENSO / Ford Motor Company / DADARA / MDE & Taylor Career Center & Kennedy H.S. & Truman H.S.	TnT	280	579	49.0							2.1574262609192																																																																		35.6899782500167																								48.957137162676						
2	Southold, NY USA	Miller Environmental/North Fork Sanitation/Hart's True Value Hardware/Aerotech Publishings/Southold PBA/STIDD Systems/Southold Fish Market/East End Cardiology/Mullen Motors/Michelangelo Pizzeria of Cutchogue/Conway & Southold Junior Senior High School & Southold Board of Education	TEAM  R. I. C. E.	870	580	48.9																																		32.1938926335927																															48.9117211902951																																						
2	Warren, OH USA	Delphi Corporation / Cleveland Communication & Champion High School	Lightning Bots	2010	581	48.9																																																	28.450512434004																																				48.898340514414																		
1	Sao Jose dos Campos, SP Brazil	Johnson & Johnson & CEPHAS - H.A.Souza Professional Training Center	CEPHAS	1860	582	48.9																																			48.8855347345956																																																																				
2	Westhampton Beach, NY USA	Westhampton Beach High School/Rechler Equity/Caithness Long Island Energy Center/Career & Employment Options (CEO)/Westhampton Architectural Glass/Complete Rehab/Westhampton Beach Rotary/Hampton Jitney/Epoch 5/CBS Insurance/BAE-NH/Mr. Steve Held and Mr. Steve Gordon/Westhampton Plumbing Suppy/True Value/William G Hentschel Agency/Quogue Market/Suffolk County National Bank/Children's Denistry of Hauppauge/SUSPA, Inc. of North America/Bruce D. Nagel/Dr. and Mrs. Muecke/Quogue Fire Department/SPEONK LUMBER/Veronica Veeck & Danny Wnenta/Anna panzarino/Steel your Way/Marinelli's Jewelers/North Fork Welding & Steel Supply, inc/Michael Anthony/Adelwerth Bus Corp./Westhampton Pet/Toni's Barber Shop/Andy's Cookies/Brian Danowski/George Regini SR/Barths Pharmacy/Circle M Beverage Barn/East Quogue Pizza & Deli & Westhampton Beach High School	P.R.I.D.E	3171	583	48.8																																																																	48.7999479023121																								37.2179356780334														
2	Calgary, AB Canada	General Motors of Canada/Tenaris & Bishop Grandin High School	Ghosts	1482	584	48.8																20.2807595572698																																																																48.784365202946																							
3	Guelph, ON Canada	Our Lady of Lourdes High School	BeaverworX	2609	585	48.7														37.1764218986968																														42.2068026774717																48.7327232243071																																											
3	Elk Grove, CA USA	NASA/Siemens Mobility & Pleasant Grove High School	EagleForce	2073	586	48.7	Curie																					48.7051876230219							23.2318800564207																																																																								25.578256126926		
2	Hollywood, FL USA	The City Collerge / One Firefly / jcpenney & McArthur High School	M3 Mighty Mechanical Mustangs	4592	587	48.7																														48.6644618144127																																																						40.6982266930593																			
1	Cumming, GA USA	AutomationDirect/jcpenney & South Forsyth High School	EagleBots	4112	588	48.7																																																													48.6636246082694																																										
3	Anderson, SC USA	BOSCH & Anderson County School Districts	FIRE	4965	589	48.6	Galileo		16.7573617836867																																																																																	17.4305781832416																		48.6120477832422	
3	Hamilton, NJ USA	Nordson Corp./Hamilton Township Education Assoc. & Nottingham High School	Flux Core	2191	590	48.6																																																											35.8704171983094																				48.5529314988455																				44.976761336243				
4	Corvallis, OR USA	Oregon Department of Education / Confederated Tribes of the Siletz Indians / Cycle Oregon / Korvis Automation / Fastenal / Ruby Tuesday's / Triaxis Engineering / Shirt Circuit & Corvallis High School	Spartan Robotics	997	591	48.5	Newton																								35.143661825459																																																																						44.1169750827868			48.5442808687168					14.3901674380185
2	Ossining, NY USA	IBM / Ossining Matters / Entergy / Ossining Community Businesses / IAT Publishing & Ossining High School	O-Bots	4122	592	48.5																																		4.7547219976616																																																							48.5085944288961														
2	Los Alamos, NM USA	ASME Northern New Mexico / Los Alamos National Bank / Neptune & Company / Thornburg Investment Management / Los Alamos National Laboratory / New Mexico Consortium / University of New Mexico-Los Alamos & Los Alamos High School	Project Y	4153	593	48.5																				44.6487386268069																																																															48.5009953229957																				
1	Avon, IN USA	jcpenney/Rolls Royce & Avon High School	Roborioles	4103	594	48.5																	48.4870438956487																																																																																						
1	Eustis, FL USA	Lockheed Martin/Mt Dora Community Trust/Lake County Schools/United Technologies Corporation/NerdsGeeksGurus, LLC/Progressive Growers, Inc/Walt Disney Co. & Disney VoluntEARS/SAIC/Lake Eustis Community Foundation/Alumne/Wal-Mart/Lightning Bolt/The Bunk Room & Mount Dora Bible School	12 Volt Bolt	1557	595	48.5																														48.4544477095066																																																																									
2	Herndon, VA USA	NASA Headquarters & Herndon High School	Epsilon Delta	116	596	48.4																																		13.1700023191606																																					48.398793913678																																
2	Austintown, OH USA	Delphi/NASA/Taylor-Winfield Corp & Austintown Fitch High School	Falco Tech	3193	597	48.4																																		42.213937592467																																			48.3884329043505																																		
2	Salt Lake City, UT USA	The Leonardo / Rockwell Automation / Northrop Grumman / Ebay / Utah State University & Salt Lake County 4H	PrototypeX	3230	598	48.4	Curie																																			48.3534277045901																																																																	42.6421511003806		
3	Scotch Plains, NJ USA	Union County Vocational Technical Schools	Parallel Universe	1257	599	48.3																																											21.6494121371327																																				27.8593049780395																				48.3352708335522				
2	Cupertino, CA USA	Lockheed Martin/Jacobs Technology/Aerospace Mechanisms Symposia/Intuitive Surgical/Google/Brin Foundation & Cupertino High School	Goldstrikers	2473	600	48.1																													29.2649285376524																																																					48.1496027997622																					
2	Lake Zurich, IL USA	PTC / Designcraft Inc. / Northrop Grumman / Lake Zurich Bear Boosters / M Tech / Echo Inc. & Lake Zurich High School	Bearbotics	2358	601	48.1																	48.1292723732885																																																																				27.8242467438395																		
2	Bronx, NY USA	The New York Yankees/The McGraw-Hill Companies/Columbia University & Morris High School Campus	2 TrainRobotics	395	602	48.1																																																	13.0751704399227																																								48.0775755604477														
2	New Berlin, WI USA	GE Volunteers / Rockwell Automation & School District of New Berlin	New Berlin Blitz	5148	603	48.0721397399902	Galileo																																																		10.3277160055565																																																			48.0721407075536	
1	Honolulu, HI USA	Sam O. Hirota Engineering / Leidos & Punahou School	Buff 'n Blue	2090	604	48.1																																																														48.062333998817																																									
1	Salisbury, MD USA	NASA / Community Foundation of the Eastern Shore / Wicomico County BOE / Chesapeake Pediatrics & Wicomico TEC Hub & Parkside High School & James M Bennett High School & Wicomico High School & Mardela High School	RoboSpectrum	3389	605	48.1																																																																																							48.0574525267319																
2	Providence, RI USA	Chase Machine and Engineering / IGUS / Airline Hydraulics Corporation / National Grid & Providence Career and Technical Academy	RhodeRebels	3280	606	48.0																					7.5367724690736																																			48.0326968584203																																															
3	Succasunna, NJ USA	jcpenney/Picatinny Arsenal & Roxbury High School	Roxbotix	4361	607	48.0											23.6613623751351																																																																				20.4721192733629																				48.0189602905457				
3	Independence, MO USA	Weld Racing/Honeywell/A & E Custom Manufacturing/KC STEM Alliance & Independence School District	The FBI - FIRST Bots of Independence	1723	608	48.0	Curie																														32.7273873282873																																					48.0012179682774																																	40.8284619503208		
2	Greenville, SC USA	Michelin / Caterpillar / Greenville Technical College / Greenville County Schools / Laserflex South / Baldor / ASME / Gastroenterology Associates & Greenville Technical Charter High School	EnTech GreenVillains	281	609	48.0			38.0821125216194																																																																			47.9721781810341																																	
3	Potsdam, NY USA	Clarkson University & Massena High School & Salmon River High School	Division By Zero	229	610	47.9	Archimedes																																	-1.6911206277959																																																					14.0744472138404													47.910884079622			
2	Randolph Center, VT USA	NDEP / CRREL / Vermont Technical College / Norwich University David Crawford School of Engineering / GW Plastics & Randolph Union High School & The Sharon Academy	THE GREEN TEAM	885	611	47.8									37.3089878973399																												47.8462850550759																																																																		
3	Somerville, AL USA	Nucor Steel/Water Divine/Senator Arthur Orr/Morgan County, AL Schools & A.P. Brewer	Morgan County Mech Tech	3959	612	47.8	Archimedes																-13.1892135964082																																																																					45.3340484662944														47.8357384927445			
3	Adair Village, OR USA	Boeing/Burcham's Metals/MSS Inc. Engineering Consultants/Society of Cable Telecommunication Engineers Cascade Range Chapter/Justin Kruse   State Farm/Robnett's Hardware & Santiam Christian Schools, Inc	Eagle Cybertechnology	956	613	47.8																																																							24.9210187364196																																								47.8117367786954			33.0868045753271					
3	Quincy, MA USA	Bluefin Robotics & Quincy Public Schools	HYPER	69	614	47.8																					13.1026437892315																																																			44.8378873903606																								47.793951837842							
1	Stephenville, TX USA	Texas Workforce Commission / Mangrum Air Conditioning & Stephenville High School	Metal Jackets	4364	615	47.8																																			47.7856825010286																																																																				
2	Hendersonville, NC USA	BorgWarner Turbo Systems/Henderson County Public Schools Robotics Team & Henderson County Public Schools	Gorillas	1225	616	47.7			47.7390272998906																																																																34.6009264699496																																				
2	Warren, MI USA	General Motors General Assembly Engineering / The Chrysler Foundation / Denso International America, Inc. & Warren Consolidated Schools	Steel Armadillos	818	617	47.5							32.9933421695173																																																																																							47.4793281964562									
3	Grand Rapids, MI USA	Grand Rapids Public Schools / Gill Industries / Autodie LLC / General Motors & Grand Rapids Public Schools	D cubed	904	618	47.5																																																				10.6328334268738																						30.1627623308247																			47.4699951585961										
2	Orlando, FL USA	Atkins Global / Walt Disney World Co Design & Engineering & Orlando Science Schools	Clockwork Mania	4013	619	47.4	Archimedes																													11.7993755478469																																																																						47.3892550035712			
1	Minneapolis, MN USA	United Health/Nonin Medical/The Bakken & Mpls. Southwest High School	Ultraviolet	2129	620	47.4																																																																47.3776460100767																																							
4	Sterling Heights, MI USA	The Chrysler Foundation / Accu-rite Industries / BAE SYSTEMS / Utica Community Schools & Utica Academy for International Studies & Stevenson High School & Henry Ford II High School & Utica High School	Crevolution	2851	621	47.4							39.6699903079222																															47.3670530256865																																			18.9975984818416																								47.2395126210845						
3	Vernon Township, NJ USA	BAE Systems & Vernon Township High School	Viking Robotics	1989	622	47.4																																											29.9200107288169																																				47.3551447949039																				40.2001782944441				
3	Austin, TX USA	3M/Space Adventures/National Instruments/LASA Robotics Association & Liberal Arts & Science Academy High School	Purple Haze	418	623	47.3	Curie														25.2620612989601																																																																											40.3512602563534											47.3288812171324		
3	Basking Ridge, NJ USA	The Pingry School	Pingry Robotics	2577	624	47.3											20.1758413793124																																																																				20.8493298014544																				47.3266001407366				
1	Rio Grande City, TX USA	Rio Auto Electric LLC / Elmendorf Fam. Foundation / La Joya Neighborhood Doctor / Bezos Foundation / Texas Workforce Commission & RGCCISD Grulla High School	CORE G IX	3741	625	47.3																				47.3025836093881																																																																																			
2	Oklahoma City, OK USA	Team Tinker / Northrop Grumman / Boeing & Liao Robotics Club	Lightsabers	3660	626	47.2472648620605	Curie																																																																			47.2472639156373																																	43.9886191774908		
2	Northwood and Hatton, ND USA	ND Space Grant / John Deere / Brent Pederson / Phil and Trish Gisi / Dr. Mary Aaland / Aneta Whitetail / ND CTEd / Msgt. Gary Kimball / Microsoft / Nrthwd Amer. Legion / Nrthwd Mens Club / Lloyd Farms / Hatton Mens Club / Nrthwd Equity Elevator / Citizen's State Bank / Trail King Industries & Northwood High School & Hatton High School	Thunder Robotics	876	627	47.2																			47.0701148448143																																47.2263080730125																																																				
